date,inflow,purchase,inflow_mean,inflow_bias,inflow_Q60,inflow_Q120,inflow_Q200,purchase_mean,purchase_bias,purchase_Q60,purchase_Q120,purchase_Q200
2015-09-14,1685.5212,1109.0069,1613.6273435158694,4.455418828456629,60.735266499568866,60.735266499568866,,1049.8333432615652,5.6364714569455,60.075530382127475,60.075530382127475,
2015-09-15,1696.6912,1119.3971000000001,1621.5381869905484,4.6346742625241575,61.483571564920325,61.483571564920325,,1056.45846295094,5.957511748569601,60.93630242615756,60.93630242615756,
2015-09-16,1715.7312,1136.6512,1630.5089501343057,5.226726897676599,63.95510604388262,63.95510604388262,,1064.0958664794218,6.8184959462936945,63.24477007675492,63.24477007675492,
2015-09-17,1719.7812,1140.1061,1639.0110691691336,4.927979581724927,62.70797994726135,62.70797994726135,,1071.3349363385246,6.419202933539438,62.17418712588392,62.17418712588392,
2015-09-18,1746.6312,1163.9428,1649.26060543874,5.903893795811442,66.78195155960488,66.78195155960488,,1080.1547328777128,7.757043002446679,65.76119897686678,65.76119897686678,
2015-09-21,1753.2012,1169.4371,1659.1597096826695,5.668019164672032,65.79728862769602,65.79728862769602,,1088.6578154607878,7.420080340398002,64.85773593206905,64.85773593206905,
2015-09-22,1754.1312,1168.1139,1668.2046135224152,5.150842155756337,63.638323810433405,63.638323810433405,24.185643157616376,1096.2250616073795,6.557853939884481,62.54593769194119,62.54593769194119,33.601274523905325
2015-09-23,1742.7012,1155.0427,1675.2995265202806,4.023261059454697,58.931216043540246,58.931216043540246,22.396714381087886,1101.8267414542959,4.829793700184169,57.91266896044001,57.91266896044001,31.112164274139943
2015-09-24,1733.7612,1145.6385,1680.8673049469205,3.1468215782060014,55.27250351019893,55.27250351019893,21.00622653588188,1105.9992898872201,3.584017682038649,54.572498902289325,54.572498902289325,29.317739644466336
2015-09-29,1719.7712,1130.2621000000001,1684.5724378091186,2.0894775078155448,50.85860148369499,50.85860148369499,19.328730131927223,1108.310033707485,1.9806791984984216,50.27363368270197,50.27363368270197,27.008279498612055
2015-09-30,1724.5712,1133.5283,1688.3818437320597,2.143434342313583,51.083845269331086,51.083845269331086,19.414333672320474,1110.7117733543912,2.054225694997541,50.47082627744619,50.47082627744619,27.114216394829306
