date,name,code,weekday,open,high,low,close,change,pct
2014-12-17,主动股基,930890,三,918.22,918.22,918.22,918.22,-1.54,-0.17
2014-12-17,股票基金,H11021,三,5711.13,5711.13,5711.13,5711.13,13.06,0.23
2014-12-17,主动偏股,932055,三,934.00,934.00,934.00,934.00,-0.15,-0.02
2014-12-17,偏股基金,930950,三,906.21,906.21,906.21,906.21,2.26,0.25
2014-12-18,主动偏股,932055,四,931.89,931.89,931.89,931.89,-2.11,-0.23
2014-12-18,主动股基,930890,四,915.26,915.26,915.26,915.26,-2.95,-0.32
2014-12-18,股票基金,H11021,四,5692.39,5692.39,5692.39,5692.39,-18.74,-0.33
2014-12-18,偏股基金,930950,四,904.10,904.10,904.10,904.10,-2.11,-0.23
2014-12-19,主动偏股,932055,五,924.80,924.80,924.80,924.80,-7.09,-0.76
2014-12-19,主动股基,930890,五,910.72,910.72,910.72,910.72,-4.55,-0.50
2014-12-19,偏股基金,930950,五,899.80,899.80,899.80,899.80,-4.30,-0.48
2014-12-19,股票基金,H11021,五,5676.56,5676.56,5676.56,5676.56,-15.83,-0.28
2014-12-22,股票基金,H11021,一,5562.54,5562.54,5562.54,5562.54,-114.02,-2.01
2014-12-22,主动股基,930890,一,891.09,891.09,891.09,891.09,-19.63,-2.16
2014-12-22,主动偏股,932055,一,898.67,898.67,898.67,898.67,-26.13,-2.83
2014-12-22,偏股基金,930950,一,879.96,879.96,879.96,879.96,-19.84,-2.20
2014-12-23,主动股基,930890,二,879.11,879.11,879.11,879.11,-11.97,-1.34
2014-12-23,股票基金,H11021,二,5467.99,5467.99,5467.99,5467.99,-94.55,-1.70
2014-12-23,偏股基金,930950,二,866.04,866.04,866.04,866.04,-13.92,-1.58
2014-12-23,主动偏股,932055,二,884.75,884.75,884.75,884.75,-13.92,-1.55
2014-12-24,主动股基,930890,三,878.28,878.28,878.28,878.28,-0.83,-0.09
2014-12-24,偏股基金,930950,三,860.51,860.51,860.51,860.51,-5.53,-0.64
2014-12-24,股票基金,H11021,三,5430.64,5430.64,5430.64,5430.64,-37.35,-0.68
2014-12-24,主动偏股,932055,三,883.18,883.18,883.18,883.18,-1.57,-0.18
2014-12-25,股票基金,H11021,四,5547.67,5547.67,5547.67,5547.67,117.03,2.15
2014-12-25,主动偏股,932055,四,900.44,900.44,900.44,900.44,17.26,1.96
2014-12-25,主动股基,930890,四,895.18,895.18,895.18,895.18,16.89,1.92
2014-12-25,偏股基金,930950,四,878.78,878.78,878.78,878.78,18.27,2.12
2014-12-26,股票基金,H11021,五,5650.31,5650.31,5650.31,5650.31,102.64,1.85
2014-12-26,主动股基,930890,五,908.52,908.52,908.52,908.52,13.34,1.49
2014-12-26,偏股基金,930950,五,894.70,894.70,894.70,894.70,15.92,1.81
2014-12-26,主动偏股,932055,五,914.15,914.15,914.15,914.15,13.71,1.52
2014-12-29,偏股基金,930950,一,889.25,889.25,889.25,889.25,-5.45,-0.61
2014-12-29,主动股基,930890,一,905.23,905.23,905.23,905.23,-3.29,-0.36
2014-12-29,股票基金,H11021,一,5619.81,5619.81,5619.81,5619.81,-30.50,-0.54
2014-12-29,主动偏股,932055,一,906.20,906.20,906.20,906.20,-7.95,-0.87
2014-12-30,主动偏股,932055,二,897.40,897.40,897.40,897.40,-8.80,-0.97
2014-12-30,主动股基,930890,二,898.81,898.81,898.81,898.81,-6.42,-0.71
2014-12-30,偏股基金,930950,二,882.50,882.50,882.50,882.50,-6.75,-0.76
2014-12-30,股票基金,H11021,二,5574.73,5574.73,5574.73,5574.73,-45.08,-0.80
2014-12-31,主动偏股,932055,三,911.46,911.46,911.46,911.46,14.06,1.57
2014-12-31,主动股基,930890,三,911.41,911.41,911.41,911.41,12.59,1.40
2014-12-31,股票基金,H11021,三,5665.96,5665.96,5665.96,5665.96,91.23,1.64
2014-12-31,偏股基金,930950,三,897.65,897.65,897.65,897.65,15.15,1.72
2015-01-05,主动股基,930890,一,928.96,928.96,928.96,928.96,17.55,1.93
2015-01-05,主动偏股,932055,一,924.85,924.85,924.85,924.85,13.39,1.47
2015-01-05,偏股基金,930950,一,914.06,914.06,914.06,914.06,16.41,1.83
2015-01-05,股票基金,H11021,一,5775.03,5775.03,5775.03,5775.03,109.07,1.93
2015-01-06,主动股基,930890,二,939.33,939.33,939.33,939.33,10.37,1.12
2015-01-06,偏股基金,930950,二,922.77,922.77,922.77,922.77,8.71,0.95
2015-01-06,股票基金,H11021,二,5819.42,5819.42,5819.42,5819.42,44.39,0.77
2015-01-06,主动偏股,932055,二,935.95,935.95,935.95,935.95,11.10,1.20
2015-01-07,主动股基,930890,三,936.98,936.98,936.98,936.98,-2.35,-0.25
2015-01-07,股票基金,H11021,三,5813.84,5813.84,5813.84,5813.84,-5.58,-0.10
2015-01-07,偏股基金,930950,三,921.37,921.37,921.37,921.37,-1.40,-0.15
2015-01-07,主动偏股,932055,三,934.41,934.41,934.41,934.41,-1.54,-0.17
2015-01-08,偏股基金,930950,四,913.02,913.02,913.02,913.02,-8.35,-0.91
2015-01-08,主动偏股,932055,四,928.51,928.51,928.51,928.51,-5.90,-0.63
